Year,State,Month,Number of Fires,Date Reported
2006,Maranhão,July,512,1/01/2006
2007,Maranhão,July,1.205,1/01/2007
2008,Maranhão,July,502,1/01/2008
2009,Maranhão,July,972,1/01/2009
2010,Maranhão,July,2.323,1/01/2010
2011,Maranhão,July,1.024,1/01/2011
2012,Maranhão,July,3.548,1/01/2012
2013,Maranhão,July,1.111,1/01/2013
2014,Maranhão,July,2.068,1/01/2014
2015,Maranhão,July,1.642,1/01/2015
2016,Maranhão,July,2.096,1/01/2016
2017,Maranhão,July,2.521,1/01/2017
1998,Maranhão,August,1.176,1/01/1998
1999,Maranhão,August,895,1/01/1999
2000,Maranhão,August,839,1/01/2000
2001,Maranhão,August,2.037,1/01/2001
2002,Maranhão,August,3.481,1/01/2002
2003,Maranhão,August,2.023,1/01/2003
2004,Maranhão,August,1.889,1/01/2004
2005,Maranhão,August,2.239,1/01/2005
2006,Maranhão,August,1.382,1/01/2006
2007,Maranhão,August,8.409,1/01/2007
2008,Maranhão,August,713,1/01/2008
2009,Maranhão,August,1.766,1/01/2009
2010,Maranhão,August,6.353,1/01/2010
2011,Maranhão,August,2.138,1/01/2011
2012,Maranhão,August,10.395,1/01/2012
2013,Maranhão,August,2.098,1/01/2013
2014,Maranhão,August,5.592,1/01/2014
2015,Maranhão,August,5.428,1/01/2015
2016,Maranhão,August,3.723,1/01/2016
2017,Maranhão,August,3.875,1/01/2017
1998,Maranhão,September,3.935,1/01/1998
1999,Maranhão,September,1.739,1/01/1999
2000,Maranhão,September,1.365,1/01/2000
2001,Maranhão,September,4.618,1/01/2001
2002,Maranhão,September,3.181,1/01/2002
2003,Maranhão,September,5.878,1/01/2003
2004,Maranhão,September,4.673,1/01/2004
2005,Maranhão,September,6.292,1/01/2005
2006,Maranhão,September,2.907,1/01/2006
2007,Maranhão,September,8.524,1/01/2007
2008,Maranhão,September,2.761,1/01/2008
2009,Maranhão,September,2.404,1/01/2009
2010,Maranhão,September,9.795,1/01/2010
2011,Maranhão,September,4.632,1/01/2011
2012,Maranhão,September,7.626,1/01/2012
2013,Maranhão,September,3.88,1/01/2013
2014,Maranhão,September,4.373,1/01/2014
2015,Maranhão,September,6.423,1/01/2015
2016,Maranhão,September,3.166,1/01/2016
2017,Maranhão,September,14.825,1/01/2017
1998,Maranhão,October,5.137,1/01/1998
1999,Maranhão,October,3.208,1/01/1999
2000,Maranhão,October,2.654,1/01/2000
2001,Maranhão,October,6.661,1/01/2001
2002,Maranhão,October,5.182,1/01/2002
2003,Maranhão,October,6.085,1/01/2003
2004,Maranhão,October,3.604,1/01/2004
2005,Maranhão,October,6.472,1/01/2005
2006,Maranhão,October,3.024,1/01/2006
2007,Maranhão,October,4.772,1/01/2007
2008,Maranhão,October,3.498,1/01/2008
2009,Maranhão,October,1.861,1/01/2009
2010,Maranhão,October,3.228,1/01/2010
2011,Maranhão,October,2.404,1/01/2011
2012,Maranhão,October,5,1/01/2012
2013,Maranhão,October,2.918,1/01/2013
2014,Maranhão,October,5.812,1/01/2014
2015,Maranhão,October,6.746,1/01/2015
2016,Maranhão,October,5.351,1/01/2016
2017,Maranhão,October,6.011,1/01/2017
1998,Maranhão,November,2.237,1/01/1998
1999,Maranhão,November,1.494,1/01/1999
2000,Maranhão,November,2.267,1/01/2000
2001,Maranhão,November,3.525,1/01/2001
2002,Maranhão,November,5.83,1/01/2002
2003,Maranhão,November,4.929,1/01/2003
2004,Maranhão,November,6.398,1/01/2004
2005,Maranhão,November,4.769,1/01/2005
2006,Maranhão,November,2.004,1/01/2006
2007,Maranhão,November,2.297,1/01/2007
2008,Maranhão,November,2.331,1/01/2008
2009,Maranhão,November,5,1/01/2009
2010,Maranhão,November,4.005,1/01/2010
2011,Maranhão,November,2.261,1/01/2011
2012,Maranhão,November,2.01,1/01/2012
2013,Maranhão,November,2.529,1/01/2013
2014,Maranhão,November,3.869,1/01/2014
2015,Maranhão,November,4.35,1/01/2015
2016,Maranhão,November,3.982,1/01/2016
2017,Maranhão,November,2.3,1/01/2017
1998,Maranhão,December,1.399,1/01/1998
1999,Maranhão,December,1.001,1/01/1999
2000,Maranhão,December,1.461,1/01/2000
2001,Maranhão,December,1.296,1/01/2001
2002,Maranhão,December,2.165,1/01/2002
2003,Maranhão,December,2.424,1/01/2003
2004,Maranhão,December,3.255,1/01/2004
2005,Maranhão,December,1.66,1/01/2005
2006,Maranhão,December,1.052,1/01/2006
2007,Maranhão,December,800,1/01/2007
2008,Maranhão,December,1.101,1/01/2008
2009,Maranhão,December,1.768,1/01/2009
2010,Maranhão,December,1.803,1/01/2010
2011,Maranhão,December,1.629,1/01/2011
2012,Maranhão,December,1.296,1/01/2012
2013,Maranhão,December,2.692,1/01/2013
2014,Maranhão,December,2.4,1/01/2014
2015,Maranhão,December,3.706,1/01/2015
2016,Maranhão,December,1.577,1/01/2016
1998,Mato Grosso,January,0,1/01/1998
1999,Mato Grosso,January,39,1/01/1999
2000,Mato Grosso,January,44,1/01/2000
2001,Mato Grosso,January,44,1/01/2001
2002,Mato Grosso,January,172,1/01/2002
2003,Mato Grosso,January,896,1/01/2003
2004,Mato Grosso,January,301,1/01/2004
2005,Mato Grosso,January,438,1/01/2005
2006,Mato Grosso,January,947,1/01/2006
2007,Mato Grosso,January,476,1/01/2007
2008,Mato Grosso,January,245,1/01/2008
2009,Mato Grosso,January,527,1/01/2009
2010,Mato Grosso,January,298,1/01/2010
2011,Mato Grosso,January,171,1/01/2011
2012,Mato Grosso,January,166,1/01/2012
2013,Mato Grosso,January,269,1/01/2013
2014,Mato Grosso,January,315,1/01/2014
2015,Mato Grosso,January,960,1/01/2015
2016,Mato Grosso,January,374,1/01/2016
2017,Mato Grosso,January,482,1/01/2017
1998,Mato Grosso,February,0,1/01/1998
1999,Mato Grosso,February,28,1/01/1999
2000,Mato Grosso,February,35,1/01/2000
2001,Mato Grosso,February,54,1/01/2001
2002,Mato Grosso,February,22,1/01/2002
2003,Mato Grosso,February,592,1/01/2003
2004,Mato Grosso,February,272,1/01/2004
2005,Mato Grosso,February,871,1/01/2005
2006,Mato Grosso,February,383,1/01/2006
2007,Mato Grosso,February,213,1/01/2007
2008,Mato Grosso,February,180,1/01/2008
2009,Mato Grosso,February,248,1/01/2009
2010,Mato Grosso,February,431,1/01/2010
2011,Mato Grosso,February,119,1/01/2011
2012,Mato Grosso,February,193,1/01/2012
2013,Mato Grosso,February,375,1/01/2013
2014,Mato Grosso,February,199,1/01/2014
2015,Mato Grosso,February,542,1/01/2015
2016,Mato Grosso,February,1.05,1/01/2016
2017,Mato Grosso,February,337,1/01/2017
1998,Mato Grosso,March,0,1/01/1998
1999,Mato Grosso,March,18,1/01/1999
2000,Mato Grosso,March,60,1/01/2000
2001,Mato Grosso,March,24,1/01/2001
2002,Mato Grosso,March,103,1/01/2002
2003,Mato Grosso,March,554,1/01/2003
2004,Mato Grosso,March,743,1/01/2004
2005,Mato Grosso,March,362,1/01/2005
2006,Mato Grosso,March,448,1/01/2006
2007,Mato Grosso,March,476,1/01/2007
2008,Mato Grosso,March,180,1/01/2008
2009,Mato Grosso,March,325,1/01/2009
2010,Mato Grosso,March,605,1/01/2010
2011,Mato Grosso,March,252,1/01/2011
2012,Mato Grosso,March,423,1/01/2012
2013,Mato Grosso,March,563,1/01/2013
2014,Mato Grosso,March,655,1/01/2014
2015,Mato Grosso,March,705,1/01/2015
2016,Mato Grosso,March,1.085,1/01/2016
2017,Mato Grosso,March,719,1/01/2017
1998,Mato Grosso,April,0,1/01/1998
1999,Mato Grosso,April,76,1/01/1999
2000,Mato Grosso,April,59,1/01/2000
2001,Mato Grosso,April,309,1/01/2001
2002,Mato Grosso,April,641,1/01/2002
2003,Mato Grosso,April,903,1/01/2003
2004,Mato Grosso,April,441,1/01/2004
2005,Mato Grosso,April,372,1/01/2005
2006,Mato Grosso,April,161,1/01/2006
2007,Mato Grosso,April,79,1/01/2007
2008,Mato Grosso,April,274,1/01/2008
2009,Mato Grosso,April,169,1/01/2009
2010,Mato Grosso,April,769,1/01/2010
2011,Mato Grosso,April,345,1/01/2011
2012,Mato Grosso,April,521,1/01/2012
2013,Mato Grosso,April,338,1/01/2013
2014,Mato Grosso,April,859,1/01/2014
2015,Mato Grosso,April,947,1/01/2015
2016,Mato Grosso,April,1.77,1/01/2016
2017,Mato Grosso,April,606,1/01/2017
1998,Mato Grosso,May,0,1/01/1998
1999,Mato Grosso,May,731,1/01/1999
2000,Mato Grosso,May,1.194,1/01/2000
2001,Mato Grosso,May,1.193,1/01/2001
2002,Mato Grosso,May,2.528,1/01/2002
2003,Mato Grosso,May,942,1/01/2003
2004,Mato Grosso,May,2.413,1/01/2004
2005,Mato Grosso,May,1.641,1/01/2005
2006,Mato Grosso,May,269,1/01/2006
2007,Mato Grosso,May,359,1/01/2007
2008,Mato Grosso,May,119,1/01/2008
2009,Mato Grosso,May,516,1/01/2009
2010,Mato Grosso,May,1.313,1/01/2010
2011,Mato Grosso,May,547,1/01/2011
2012,Mato Grosso,May,812,1/01/2012
2013,Mato Grosso,May,739,1/01/2013
2014,Mato Grosso,May,933,1/01/2014
2015,Mato Grosso,May,541,1/01/2015
2016,Mato Grosso,May,1.081,1/01/2016
2017,Mato Grosso,May,845,1/01/2017
1998,Mato Grosso,June,2.201,1/01/1998
1999,Mato Grosso,June,2.201,1/01/1999
2000,Mato Grosso,June,4.358,1/01/2000
2001,Mato Grosso,June,6.665,1/01/2001
2002,Mato Grosso,June,7.878,1/01/2002
2003,Mato Grosso,June,4.313,1/01/2003
2004,Mato Grosso,June,9.813,1/01/2004
2005,Mato Grosso,June,2.294,1/01/2005
2006,Mato Grosso,June,856,1/01/2006
2007,Mato Grosso,June,1.339,1/01/2007
2008,Mato Grosso,June,403,1/01/2008
2009,Mato Grosso,June,979,1/01/2009
2010,Mato Grosso,June,1.025,1/01/2010
2011,Mato Grosso,June,974,1/01/2011
2012,Mato Grosso,June,1.651,1/01/2012
2013,Mato Grosso,June,1.213,1/01/2013
2014,Mato Grosso,June,1.795,1/01/2014
2015,Mato Grosso,June,1.402,1/01/2015
2016,Mato Grosso,June,1.417,1/01/2016
2017,Mato Grosso,June,2.041,1/01/2017
1998,Mato Grosso,July,3.712,1/01/1998
1999,Mato Grosso,July,3.926,1/01/1999
2000,Mato Grosso,July,1.338,1/01/2000
2001,Mato Grosso,July,1.555,1/01/2001
2002,Mato Grosso,July,5.661,1/01/2002
2003,Mato Grosso,July,5.435,1/01/2003
2004,Mato Grosso,July,11.517,1/01/2004
2005,Mato Grosso,July,4.172,1/01/2005
2006,Mato Grosso,July,1.941,1/01/2006
2007,Mato Grosso,July,1.79,1/01/2007
2008,Mato Grosso,July,1.117,1/01/2008
2009,Mato Grosso,July,1.613,1/01/2009
2010,Mato Grosso,July,3.442,1/01/2010
2011,Mato Grosso,July,1.061,1/01/2011
2012,Mato Grosso,July,2.008,1/01/2012
2013,Mato Grosso,July,1.63,1/01/2013
2014,Mato Grosso,July,2.255,1/01/2014
2015,Mato Grosso,July,1.533,1/01/2015
2016,Mato Grosso,July,3.495,1/01/2016
2017,Mato Grosso,July,2.79,1/01/2017
1998,Mato Grosso,August,15.406,1/01/1998
1999,Mato Grosso,August,18.566,1/01/1999
2000,Mato Grosso,August,6.063,1/01/2000
2001,Mato Grosso,August,7.762,1/01/2001
2002,Mato Grosso,August,14.086,1/01/2002
2003,Mato Grosso,August,11.132,1/01/2003
2004,Mato Grosso,August,13.603,1/01/2004
2005,Mato Grosso,August,11.57,1/01/2005
2006,Mato Grosso,August,6.218,1/01/2006
2007,Mato Grosso,August,14.453,1/01/2007
2008,Mato Grosso,August,2.875,1/01/2008
2009,Mato Grosso,August,2.25,1/01/2009
2010,Mato Grosso,August,14.608,1/01/2010
2011,Mato Grosso,August,2.628,1/01/2011
2012,Mato Grosso,August,6.195,1/01/2012
2013,Mato Grosso,August,3.568,1/01/2013
2014,Mato Grosso,August,7.167,1/01/2014
2015,Mato Grosso,August,5.112,1/01/2015
2016,Mato Grosso,August,6.228,1/01/2016
2017,Mato Grosso,August,6.229,1/01/2017
1998,Mato Grosso,September,10.363,1/01/1998
1999,Mato Grosso,September,11.729,1/01/1999
2000,Mato Grosso,September,6.251,1/01/2000
2001,Mato Grosso,September,8.49,1/01/2001
2002,Mato Grosso,September,11.034,1/01/2002
2003,Mato Grosso,September,15.79,1/01/2003
2004,Mato Grosso,September,24.994,1/01/2004
2005,Mato Grosso,September,20.551,1/01/2005
2006,Mato Grosso,September,12.661,1/01/2006
2007,Mato Grosso,September,25.963,1/01/2007
2008,Mato Grosso,September,7.965,1/01/2008
2009,Mato Grosso,September,3.129,1/01/2009
2010,Mato Grosso,September,18.366,1/01/2010
2011,Mato Grosso,September,6.332,1/01/2011
2012,Mato Grosso,September,10.344,1/01/2012
2013,Mato Grosso,September,5.576,1/01/2013
2014,Mato Grosso,September,7.081,1/01/2014
2015,Mato Grosso,September,11.068,1/01/2015
2016,Mato Grosso,September,8.98,1/01/2016
2017,Mato Grosso,September,23.945,1/01/2017
1998,Mato Grosso,October,2.707,1/01/1998
1999,Mato Grosso,October,6.109,1/01/1999
2000,Mato Grosso,October,6.062,1/01/2000
2001,Mato Grosso,October,6.543,1/01/2001
2002,Mato Grosso,October,9.375,1/01/2002
2003,Mato Grosso,October,5.341,1/01/2003
2004,Mato Grosso,October,9.295,1/01/2004
2005,Mato Grosso,October,7.765,1/01/2005
2006,Mato Grosso,October,2.327,1/01/2006
2007,Mato Grosso,October,4.89,1/01/2007
2008,Mato Grosso,October,6.326,1/01/2008
2009,Mato Grosso,October,2.579,1/01/2009
2010,Mato Grosso,October,4.465,1/01/2010
2011,Mato Grosso,October,2.01,1/01/2011
2012,Mato Grosso,October,2.837,1/01/2012
2013,Mato Grosso,October,1.986,1/01/2013
2014,Mato Grosso,October,5.281,1/01/2014
2015,Mato Grosso,October,6.49,1/01/2015
2016,Mato Grosso,October,2.749,1/01/2016
2017,Mato Grosso,October,4.8,1/01/2017
1998,Mato Grosso,November,182,1/01/1998
1999,Mato Grosso,November,842,1/01/1999
2000,Mato Grosso,November,502,1/01/2000
2001,Mato Grosso,November,373,1/01/2001
2002,Mato Grosso,November,2.905,1/01/2002
2003,Mato Grosso,November,2.097,1/01/2003
2004,Mato Grosso,November,2.405,1/01/2004
2005,Mato Grosso,November,1.368,1/01/2005
2006,Mato Grosso,November,1.031,1/01/2006
2007,Mato Grosso,November,299,1/01/2007
2008,Mato Grosso,November,190,1/01/2008
2009,Mato Grosso,November,588,1/01/2009
2010,Mato Grosso,November,768,1/01/2010
2011,Mato Grosso,November,1.103,1/01/2011
2012,Mato Grosso,November,375,1/01/2012
2013,Mato Grosso,November,1.064,1/01/2013
2014,Mato Grosso,November,1.018,1/01/2014
2015,Mato Grosso,November,1.93,1/01/2015
2016,Mato Grosso,November,918,1/01/2016
2017,Mato Grosso,November,813,1/01/2017
1998,Mato Grosso,December,76,1/01/1998
1999,Mato Grosso,December,47,1/01/1999
2000,Mato Grosso,December,98,1/01/2000
2001,Mato Grosso,December,37,1/01/2001
2002,Mato Grosso,December,1.157,1/01/2002
2003,Mato Grosso,December,1.622,1/01/2003
2004,Mato Grosso,December,1.217,1/01/2004
2005,Mato Grosso,December,246,1/01/2005
2006,Mato Grosso,December,23,1/01/2006
2007,Mato Grosso,December,81,1/01/2007
2008,Mato Grosso,December,159,1/01/2008
2009,Mato Grosso,December,171,1/01/2009
2010,Mato Grosso,December,846,1/01/2010
2011,Mato Grosso,December,431,1/01/2011
2012,Mato Grosso,December,492,1/01/2012
2013,Mato Grosso,December,447,1/01/2013
2014,Mato Grosso,December,466,1/01/2014
2015,Mato Grosso,December,1.777,1/01/2015
2016,Mato Grosso,December,425,1/01/2016
1998,Mato Grosso do Sul,January,0,1/01/1998
1999,Mato Grosso do Sul,January,239,1/01/1999
2000,Mato Grosso do Sul,January,326,1/01/2000
2001,Mato Grosso do Sul,January,97,1/01/2001
2002,Mato Grosso do Sul,January,304,1/01/2002
2003,Mato Grosso do Sul,January,182,1/01/2003
2004,Mato Grosso do Sul,January,258,1/01/2004
2005,Mato Grosso do Sul,January,59,1/01/2005
2006,Mato Grosso do Sul,January,59,1/01/2006
2007,Mato Grosso do Sul,January,19,1/01/2007
2008,Mato Grosso do Sul,January,63,1/01/2008
2009,Mato Grosso do Sul,January,229,1/01/2009
2010,Mato Grosso do Sul,January,72,1/01/2010
2011,Mato Grosso do Sul,January,129,1/01/2011
2012,Mato Grosso do Sul,January,201,1/01/2012
2013,Mato Grosso do Sul,January,174,1/01/2013
2014,Mato Grosso do Sul,January,197,1/01/2014
2015,Mato Grosso do Sul,January,226,1/01/2015
2016,Mato Grosso do Sul,January,127,1/01/2016
2017,Mato Grosso do Sul,January,355,1/01/2017
1998,Mato Grosso do Sul,February,0,1/01/1998
1999,Mato Grosso do Sul,February,69,1/01/1999
2000,Mato Grosso do Sul,February,81,1/01/2000
2001,Mato Grosso do Sul,February,89,1/01/2001
2002,Mato Grosso do Sul,February,98,1/01/2002
2003,Mato Grosso do Sul,February,108,1/01/2003
2004,Mato Grosso do Sul,February,169,1/01/2004
2005,Mato Grosso do Sul,February,221,1/01/2005
2006,Mato Grosso do Sul,February,104,1/01/2006
2007,Mato Grosso do Sul,February,111,1/01/2007
2008,Mato Grosso do Sul,February,78,1/01/2008
2009,Mato Grosso do Sul,February,164,1/01/2009
2010,Mato Grosso do Sul,February,157,1/01/2010
2011,Mato Grosso do Sul,February,61,1/01/2011
2012,Mato Grosso do Sul,February,112,1/01/2012
2013,Mato Grosso do Sul,February,100,1/01/2013
2014,Mato Grosso do Sul,February,139,1/01/2014
2015,Mato Grosso do Sul,February,148,1/01/2015
2016,Mato Grosso do Sul,February,187,1/01/2016
2017,Mato Grosso do Sul,February,165,1/01/2017
1998,Mato Grosso do Sul,March,0,1/01/1998
1999,Mato Grosso do Sul,March,100,1/01/1999
2000,Mato Grosso do Sul,March,23,1/01/2000
2001,Mato Grosso do Sul,March,39,1/01/2001
2002,Mato Grosso do Sul,March,115,1/01/2002
2003,Mato Grosso do Sul,March,137,1/01/2003
2004,Mato Grosso do Sul,March,225,1/01/2004
2005,Mato Grosso do Sul,March,158,1/01/2005
2006,Mato Grosso do Sul,March,137,1/01/2006
2007,Mato Grosso do Sul,March,137,1/01/2007
2008,Mato Grosso do Sul,March,97,1/01/2008
2009,Mato Grosso do Sul,March,118,1/01/2009
2010,Mato Grosso do Sul,March,149,1/01/2010
2011,Mato Grosso do Sul,March,37,1/01/2011
2012,Mato Grosso do Sul,March,169,1/01/2012
2013,Mato Grosso do Sul,March,158,1/01/2013
2014,Mato Grosso do Sul,March,95,1/01/2014
2015,Mato Grosso do Sul,March,190,1/01/2015
2016,Mato Grosso do Sul,March,143,1/01/2016
2017,Mato Grosso do Sul,March,170,1/01/2017
1998,Mato Grosso do Sul,April,0,1/01/1998
1999,Mato Grosso do Sul,April,97,1/01/1999
2000,Mato Grosso do Sul,April,90,1/01/2000
2001,Mato Grosso do Sul,April,108,1/01/2001
2002,Mato Grosso do Sul,April,230,1/01/2002
2003,Mato Grosso do Sul,April,126,1/01/2003
2004,Mato Grosso do Sul,April,97,1/01/2004
2005,Mato Grosso do Sul,April,126,1/01/2005
2006,Mato Grosso do Sul,April,51,1/01/2006
2007,Mato Grosso do Sul,April,46,1/01/2007
2008,Mato Grosso do Sul,April,72,1/01/2008
2009,Mato Grosso do Sul,April,291,1/01/2009
2010,Mato Grosso do Sul,April,136,1/01/2010
2011,Mato Grosso do Sul,April,23,1/01/2011
2012,Mato Grosso do Sul,April,97,1/01/2012
2013,Mato Grosso do Sul,April,78,1/01/2013
2014,Mato Grosso do Sul,April,129,1/01/2014
2015,Mato Grosso do Sul,April,65,1/01/2015
2016,Mato Grosso do Sul,April,161,1/01/2016
2017,Mato Grosso do Sul,April,59,1/01/2017
1998,Mato Grosso do Sul,May,0,1/01/1998
1999,Mato Grosso do Sul,May,206,1/01/1999
2000,Mato Grosso do Sul,May,127,1/01/2000
2001,Mato Grosso do Sul,May,112,1/01/2001
2002,Mato Grosso do Sul,May,88,1/01/2002
2003,Mato Grosso do Sul,May,74,1/01/2003
2004,Mato Grosso do Sul,May,25,1/01/2004
2005,Mato Grosso do Sul,May,328,1/01/2005
2006,Mato Grosso do Sul,May,99,1/01/2006
2007,Mato Grosso do Sul,May,62,1/01/2007
2008,Mato Grosso do Sul,May,34,1/01/2008
2009,Mato Grosso do Sul,May,927,1/01/2009
2010,Mato Grosso do Sul,May,105,1/01/2010
2011,Mato Grosso do Sul,May,81,1/01/2011
2012,Mato Grosso do Sul,May,157,1/01/2012
2013,Mato Grosso do Sul,May,72,1/01/2013
2014,Mato Grosso do Sul,May,70,1/01/2014
2015,Mato Grosso do Sul,May,58,1/01/2015
2016,Mato Grosso do Sul,May,97,1/01/2016
2017,Mato Grosso do Sul,May,72,1/01/2017
1998,Mato Grosso do Sul,June,82,1/01/1998
1999,Mato Grosso do Sul,June,127,1/01/1999
2000,Mato Grosso do Sul,June,157,1/01/2000
2001,Mato Grosso do Sul,June,249,1/01/2001
2002,Mato Grosso do Sul,June,517,1/01/2002
2003,Mato Grosso do Sul,June,170,1/01/2003
2004,Mato Grosso do Sul,June,394,1/01/2004
2005,Mato Grosso do Sul,June,439,1/01/2005
2006,Mato Grosso do Sul,June,89,1/01/2006
2007,Mato Grosso do Sul,June,141,1/01/2007
2008,Mato Grosso do Sul,June,24,1/01/2008
2009,Mato Grosso do Sul,June,376,1/01/2009
2010,Mato Grosso do Sul,June,149,1/01/2010
2011,Mato Grosso do Sul,June,104,1/01/2011
2012,Mato Grosso do Sul,June,96,1/01/2012
2013,Mato Grosso do Sul,June,35,1/01/2013
2014,Mato Grosso do Sul,June,84,1/01/2014
2015,Mato Grosso do Sul,June,299,1/01/2015
